"Kanton","User_nah_daily", "User_weit_daily", "User_nach_woche", User_weit_woche", "sum"
LU,4.0,11.0,7.0,14.0,
ZG,19.0,18.0,15.0,18.0,
ZG,19.0,18.0,15.0,18.0,
GL,5.0,0.0,2.0,0.0,
SG,3.0,0.0,0.0,6.0,
SG,3.0,13.0,5.0,15.0,
ZH,4.0,3.0,4.0,11.0,
ZH,4.0,50.0,10.0,50.0,
ZH,3.0,4.0,5.0,7.0,
GE,9.0,20.0,6.0,16.0,
AG,7.0,12.0,6.0,13.0,
SH,4.0,3.0,4.0,5.0,
SH,2.0,0.0,3.0,0.0,
SH,2.0,0.0,3.0,0.0,
AG,9.0,10.0,3.0,12.0,
TI,25.0,50.0,25.0,50.0,
TI,25.0,50.0,25.0,50.0,
SH,4.0,0.0,4.0,0.0,
SH,4.0,0.0,4.0,20.0,
SH,4.0,21.0,4.0,20.0,
SH,4.0,0.0,4.0,2.0,
GL,5.0,18.0,3.0,5.0,
GL,3.0,12.0,3.0,13.0,
SG,4.0,7.0,3.0,9.0,
TI,25.0,50.0,25.0,50.0,
AG,0.0,0.0,0.0,0.0,
AG,0.0,0.0,0.0,0.0,
TI,0.0,5.0,7.0,16.0,
TI,0.0,5.0,7.0,16.0,
TI,0.0,5.0,7.0,16.0,
TI,3.0,17.0,9.0,22.0,51.0,
